Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
97,Josh Hart,29,NYK,SG,34,34,37.5,5.5,9.7,0.571,1.4,3.6,0.382,4.1,6.1,0.684,0.643,2.1,2.7,0.802,1.8,6.9,8.7,5.6,1.4,0.4,2,2.5,14.6,
98,Kyle Kuzma,29,WAS,PF,15,13,26.7,5.9,13.4,0.443,1.1,4.1,0.258,4.9,9.3,0.525,0.483,1.6,2.6,0.615,0.7,4.7,5.4,2.1,0.5,0.2,2.2,1.9,14.5,
99,Malcolm Brogdon,32,WAS,PG,17,12,25.5,4.9,11,0.449,0.9,2.7,0.326,4.1,8.3,0.489,0.489,3.6,4.1,0.886,1,3.1,4.1,3.9,0.6,0.3,1.8,1.5,14.4,
100,Deandre Ayton,26,POR,C,24,24,30.1,6.7,11.7,0.569,0.3,1.1,0.231,6.4,10.6,0.604,0.58,0.8,1.2,0.643,2.9,7.1,10,1.4,0.9,1,1.8,2.4,14.3,
101,Klay Thompson,34,DAL,SF,30,30,27.8,5.1,12.2,0.416,3.1,8,0.385,2,4.2,0.476,0.542,1,1.1,0.909,0.6,2.9,3.5,1.9,1,0.4,1.3,1.4,14.2,
102,Christian Braun,23,DEN,SG,32,32,34,5.4,9.7,0.557,0.9,2.6,0.361,4.4,7.1,0.628,0.605,2.4,3,0.8,1.2,3.7,4.8,2.2,1.2,0.6,1.1,2.3,14.1,
103,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2,2.9,3,0.5,0.3,1.9,1.8,14.1,
104,Bobby Portis,29,MIL,PF,31,5,25.5,5.8,12.3,0.471,1.4,3.6,0.381,4.4,8.6,0.509,0.528,1.2,1.5,0.8,1.8,6.2,8.1,2.2,0.7,0.6,1.3,1.7,14.1,
105,Dillon Brooks,29,HOU,SF,31,31,32.1,5,11.9,0.423,2.4,6.1,0.384,2.7,5.8,0.464,0.522,1.5,1.8,0.873,1.3,2.7,4,1.5,0.7,0.3,1.1,3.4,14,
106,Jeremy Sochan,21,SAS,PF,20,17,29.3,5.5,10.4,0.524,0.5,1.7,0.265,5,8.7,0.575,0.546,2.6,3.5,0.729,2.7,5.6,8.3,2.8,0.9,0.7,1.9,2.5,13.9,
107,Aaron Gordon,29,DEN,PF,17,16,28.8,4.8,9.1,0.523,1.3,2.9,0.44,3.5,6.2,0.562,0.594,2.9,3.8,0.754,1.9,3.9,5.8,3.1,0.5,0.2,1.4,1.8,13.7,
108,Jarrett Allen,26,CLE,C,34,34,29,5.6,8.1,0.688,0,0,0,5.6,8.1,0.691,0.688,2.4,3.3,0.732,2.3,7.7,10.1,1.8,1,0.9,1.1,1.4,13.6,
109,Deni Avdija,24,POR,SF,33,15,27.1,4.5,9.8,0.455,1.4,4,0.359,3,5.8,0.521,0.528,3.2,4.1,0.793,1.3,4.6,5.9,3.2,0.9,0.7,2.3,2.2,13.6,
110,Khris Middleton,33,MIL,SF,11,6,23.6,4.9,10.7,0.458,1.7,4,0.432,3.2,6.7,0.473,0.538,2.1,2.5,0.852,0.4,3.8,4.2,5.2,0.9,0.2,2.4,2.6,13.6,
111,Tobias Harris,32,DET,PF,32,32,31.8,5,11.2,0.444,1.4,4.2,0.343,3.5,7,0.504,0.508,1.8,2.2,0.843,1.1,5.4,6.5,2.3,0.8,0.9,1.1,2,13.2,
112,Santi Aldama,24,MEM,PF,31,11,25.7,5.1,10,0.508,1.7,4.5,0.388,3.4,5.5,0.605,0.595,1.1,1.4,0.767,1.5,5.7,7.3,3,0.9,0.5,1.2,1,13,
113,Dyson Daniels,21,ATL,SG,31,31,33.4,5.4,12.2,0.446,1.2,3.9,0.311,4.2,8.2,0.51,0.496,0.8,1.4,0.591,1.6,3.4,5,3.6,3.2,0.8,1.8,2.4,12.9,
114,Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,
115,Bilal Coulibaly,20,WAS,SF,29,29,33.8,4.6,10.8,0.426,1.1,3.8,0.297,3.4,6.9,0.498,0.479,2.5,3.2,0.785,1.3,4.1,5.5,3.6,1.4,0.8,2,2.4,12.8,
116,Kelly Oubre Jr.,29,PHI,SF,30,27,32.4,4.9,10.8,0.455,1.2,4.3,0.287,3.7,6.5,0.567,0.512,1.7,2.4,0.722,1.6,4.1,5.7,1.5,1.4,0.5,1.3,2.8,12.8,
117,D'Angelo Russell,28,2TM,PG,31,11,26.4,4.5,10.8,0.421,1.9,5.7,0.326,2.7,5.1,0.529,0.507,1.7,1.9,0.867,0.3,2.5,2.7,5,0.8,0.2,1.7,1.9,12.6,
117,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,
117,D'Angelo Russell,28,BRK,PG,2,1,27,6,12,0.5,1,5,0.2,5,7,0.714,0.542,3.5,3.5,1,0,2.5,2.5,10,1.5,1,2,2.5,16.5,
118,Ayo Dosunmu,25,CHI,SG,30,17,30.8,4.9,10,0.49,1.3,4.2,0.32,3.6,5.8,0.611,0.557,1.4,1.8,0.796,0.6,3.3,3.9,4.8,0.8,0.5,1.3,2.3,12.6,
119,Tyus Jones,28,PHO,PG,32,32,31.3,4.8,9.7,0.492,2.3,5.3,0.435,2.5,4.5,0.559,0.609,0.8,0.9,0.857,0.6,2.1,2.6,6.3,1,0.2,1.3,1.1,12.6,
120,Naz Reid,25,MIN,C,33,0,24.7,4.7,10.2,0.463,1.8,4.9,0.356,2.9,5.2,0.564,0.549,1.5,1.8,0.831,0.8,4.2,5,1.7,0.7,0.8,1.3,2.4,12.6,
121,P.J. Washington,26,DAL,PF,28,27,31.9,4.6,10.5,0.437,1.6,4.1,0.379,3,6.3,0.475,0.512,1.9,2.5,0.746,1.4,6,7.4,2.1,1.1,1.1,1.7,2,12.6,
122,Mark Williams,23,CHO,C,11,8,19.2,5.2,8,0.648,0,0.1,0,5.2,7.9,0.655,0.648,2.2,2.8,0.774,2.4,5,7.4,2,0.5,1,0.8,2.1,12.5,
123,Buddy Hield,32,GSW,SG,33,6,22.8,4.4,10.3,0.425,2.8,7.1,0.389,1.6,3.2,0.505,0.559,0.7,0.8,0.923,0.6,2.7,3.3,1.2,0.8,0.3,1.2,1.9,12.3,
124,Jrue Holiday,34,BOS,PG,29,29,30.6,4.5,9.8,0.456,1.9,5.4,0.348,2.6,4.4,0.591,0.553,1.4,1.6,0.894,1.1,3,4.1,3.8,1,0.4,1.4,1.4,12.3,
125,Keldon Johnson,25,SAS,SF,31,0,24.6,4.6,10.2,0.454,1.1,3.8,0.28,3.5,6.4,0.558,0.506,2,2.6,0.763,1.1,3.9,5,1.5,0.7,0.2,0.8,1.5,12.3,
126,Isaiah Hartenstein,26,OKC,C,19,18,29.8,5.2,9,0.573,0,0.4,0,5.2,8.6,0.601,0.573,1.8,2.8,0.66,2.7,9.6,12.3,4.1,0.8,1.3,1.8,2.9,12.2,
127,Brook Lopez,36,MIL,C,32,32,32.1,4.7,9.5,0.493,1.8,5,0.369,2.8,4.5,0.632,0.59,1,1.3,0.744,1.2,3.6,4.8,1.6,0.9,1.9,1.1,2.2,12.2,
128,Terry Rozier,30,MIA,PG,28,13,28.7,4.4,10.9,0.401,1.6,5.2,0.315,2.7,5.6,0.481,0.477,1.8,2,0.895,0.7,3.4,4.1,2.9,0.6,0.4,1.5,1.5,12.2,
129,Julian Champagnie,23,SAS,SF,34,26,27.9,4.2,9.7,0.433,2.6,7,0.372,1.6,2.7,0.593,0.568,1.1,1.2,0.905,0.8,3.9,4.7,1.3,0.8,0.6,1.1,1.6,12.1,
130,Josh Giddey,22,CHI,PG,30,30,27.3,4.6,10.3,0.447,1.2,3.9,0.308,3.4,6.4,0.531,0.505,1.7,2.3,0.729,1.4,5.4,6.9,6.8,1,0.5,2.7,1.4,12.1,
131,Rui Hachimura,26,LAL,PF,29,29,32.7,4.5,9.3,0.48,1.5,3.6,0.417,3,5.8,0.518,0.559,1.7,2,0.814,1.7,3.7,5.4,1.6,0.9,0.7,1,2,12.1,
132,Russell Westbrook,36,DEN,PG,33,12,26.5,4.5,9.8,0.457,1.1,3.4,0.319,3.4,6.4,0.531,0.512,2.1,3.3,0.63,1.1,3.5,4.5,6.7,1.7,0.5,2.7,2.6,12.1,
133,Daniel Gafford,26,DAL,C,34,15,20.5,4.9,6.8,0.719,0,0,,4.9,6.8,0.719,0.719,2.1,3.1,0.676,2.5,3.7,6.2,1.2,0.5,1.4,1.1,2.6,11.9,
134,Alex Sarr,19,WAS,C,29,29,27.2,4.5,10.9,0.413,1.4,4.5,0.315,3.1,6.4,0.481,0.478,1.5,2.3,0.652,1.9,4.4,6.3,2.3,0.7,1.7,1.6,2.8,11.9,
135,Jabari Smith Jr.,21,HOU,PF,33,33,30.9,4.1,9.5,0.435,1.7,4.8,0.354,2.4,4.7,0.516,0.524,2,2.3,0.867,1.8,4.7,6.5,1,0.4,1,0.9,2.3,11.9,
136,Amen Thompson,22,HOU,SF,32,5,27.8,4.6,8.3,0.556,0.3,1.3,0.262,4.3,7,0.612,0.577,2.3,3.4,0.694,2.5,4.6,7.1,2.2,1.1,1.1,1.8,2.3,11.9,
137,Caris LeVert,30,CLE,SF,28,0,23.9,4.1,8.2,0.504,1.8,4,0.459,2.3,4.3,0.546,0.615,1.7,2.5,0.671,0.5,2.3,2.7,3.7,1,0.5,1.3,1.3,11.8,
138,Jonas Valančiūnas,32,WAS,C,32,7,20,4.9,8.8,0.553,0.1,0.6,0.158,4.8,8.2,0.582,0.559,2,2.2,0.901,2.3,5.7,8.1,2.4,0.5,0.8,1.8,1.8,11.8,
139,Jaylen Wells,21,MEM,SG,35,30,25.3,4.3,9.4,0.453,2,5,0.394,2.3,4.4,0.519,0.558,1.3,1.6,0.807,1.1,2.2,3.3,1.7,0.5,0.1,1.2,1.8,11.8,
140,Brandon Boston Jr.,23,NOP,SG,32,10,25.2,4.3,9.6,0.454,1.2,3.5,0.348,3.1,6.1,0.515,0.518,1.7,2.1,0.821,0.6,2.8,3.4,2.7,1.4,0.3,1.3,1.8,11.6,
141,Keegan Murray,24,SAC,PF,32,32,35.5,4.5,10.9,0.413,1.6,5.5,0.286,2.9,5.4,0.54,0.484,1.1,1.2,0.872,2.2,5.2,7.4,1.4,0.7,0.8,1,2.9,11.6,
142,Onyeka Okongwu,24,ATL,C,28,0,23.6,4.5,8.2,0.555,0.4,1.6,0.239,4.1,6.5,0.634,0.579,2,2.6,0.767,2.6,4.1,6.7,1.4,0.7,0.7,0.8,2.3,11.5,
143,Tari Eason,23,HOU,PF,24,0,22.8,4.4,9.2,0.475,1,3,0.315,3.4,6.2,0.554,0.527,1.5,2,0.755,2.1,4.2,6.3,1,1.9,1,0.8,2.5,11.3,
144,Scoot Henderson,20,POR,PG,26,3,26,4,9.9,0.403,1.1,3.5,0.308,2.9,6.4,0.455,0.457,2.2,3,0.753,0.7,2.2,2.8,5.2,1.2,0.3,2.7,2.8,11.3,
145,Corey Kispert,25,WAS,SF,27,0,26.8,4.1,9.4,0.441,2,5.7,0.348,2.1,3.7,0.586,0.547,1,1.2,0.844,0.5,2.7,3.1,1.6,0.5,0.2,1.1,1.7,11.3,
146,Ochai Agbaji,24,TOR,SG,35,33,30.2,4.5,8.8,0.508,1.7,4.1,0.415,2.8,4.8,0.587,0.604,0.5,0.8,0.679,0.9,2.9,3.9,1.8,0.8,0.5,0.9,2.3,11.2,
147,Jordan Hawkins,22,NOP,SG,19,3,24.1,3.6,10.3,0.352,1.9,5.8,0.324,1.7,4.5,0.388,0.444,2,2.3,0.864,0.4,2.6,2.9,1.1,0.4,0.6,0.9,0.8,11.2,
148,Duncan Robinson,30,MIA,SF,30,19,23.4,4,9.5,0.421,2.5,6.6,0.382,1.5,2.9,0.512,0.554,0.6,0.7,0.864,0.3,2,2.4,2.6,0.5,0.1,0.9,2.1,11.2,
149,Zach Edey,22,MEM,C,21,14,21.9,4.6,7.8,0.591,0.4,1,0.409,4.2,6.8,0.62,0.619,1.5,2.3,0.633,3.7,4.3,8,1,0.8,1.1,1.6,2.9,11.1,
150,Bogdan Bogdanović,32,ATL,SG,15,0,25.3,3.7,9.3,0.403,2.1,6.2,0.333,1.7,3.1,0.543,0.514,1.3,1.4,0.952,0.6,2.5,3.1,2.3,1,0.3,1.7,2.5,10.9,
151,Stephon Castle,20,SAS,PG,33,18,25.1,3.8,9.9,0.388,1,3.7,0.26,2.9,6.2,0.466,0.437,2.2,3.2,0.712,0.6,1.9,2.5,3.6,0.8,0.3,1.8,1.7,10.9,
152,Justin Champagnie,23,WAS,SF,15,12,25.7,4.4,7.9,0.559,1.5,3.7,0.4,2.9,4.2,0.698,0.653,0.7,1.1,0.588,2.2,4.5,6.7,1.1,1.3,0.8,1.3,2.5,10.9,
153,Naji Marshall,27,DAL,SF,26,8,23.2,4.3,8.2,0.528,0.8,2.4,0.317,3.6,5.8,0.616,0.575,1.4,1.6,0.881,0.9,2.3,3.3,2.2,0.8,0.1,1.3,1.4,10.9,
154,Herbert Jones,26,NOP,SF,17,17,33,4,8.9,0.447,1.1,3.6,0.306,2.9,5.3,0.544,0.51,1.7,2.1,0.806,1.3,2.7,4,3.4,1.9,0.4,1.8,3.5,10.8,
155,T.J. McConnell,32,IND,PG,34,0,19.6,4.9,8.9,0.551,0.2,0.7,0.292,4.7,8.2,0.573,0.563,0.8,1.1,0.703,0.6,1.9,2.6,4.3,1.2,0.3,1.6,1,10.8,
156,Andrew Nembhard,25,IND,SG,20,20,27.1,4,8.7,0.462,0.8,2.4,0.333,3.2,6.3,0.512,0.509,1.9,2.1,0.881,0.5,2.7,3.2,4.9,0.8,0.2,1.8,1.9,10.7,
157,Scotty Pippen Jr.,24,MEM,PG,35,14,22.5,4,8.5,0.473,1.1,3.1,0.367,2.9,5.4,0.534,0.54,1.5,2.2,0.701,0.7,2.7,3.4,5,1.1,0.4,2.2,2.5,10.7,
158,Zaccharie Risacher,19,ATL,SF,35,33,23.9,4,9.9,0.402,1.2,4.3,0.28,2.8,5.7,0.495,0.463,1.5,2.2,0.701,1.3,2.1,3.4,1.2,0.8,0.6,1.2,2.1,10.7,
159,Harrison Barnes,32,SAS,PF,34,34,27.8,3.6,7.4,0.478,1.4,3.4,0.414,2.1,4,0.533,0.573,2.1,2.6,0.798,1.5,2.3,3.9,1.5,0.3,0.2,0.7,0.8,10.6,
160,Amir Coffey,27,LAC,SG,33,9,24.9,3.7,7.4,0.502,1.7,3.8,0.449,2,3.6,0.559,0.618,1.3,1.6,0.846,0.5,2.1,2.6,1.2,0.5,0.1,0.8,1.6,10.5,
161,Royce O'Neale,31,PHO,SF,31,9,26.4,3.7,8.3,0.447,2.5,5.7,0.441,1.2,2.6,0.463,0.599,0.5,0.7,0.762,1,4.6,5.6,2.4,1,0.6,1,2.3,10.5,
162,Grayson Allen,29,PHO,SG,23,1,23.9,3.2,8,0.404,2.2,5.8,0.376,1,2.2,0.48,0.541,1.8,2.2,0.84,0.7,2.5,3.2,1.8,0.9,0.3,1,1.5,10.4,
163,Grant Williams,26,CHO,PF,16,7,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4,5.1,2.3,1.1,0.8,1.8,2.9,10.4,
164,Jose Alvarado,26,NOP,PG,12,7,25.1,3.5,8.9,0.393,2.1,5.3,0.391,1.4,3.6,0.395,0.509,1.2,1.4,0.824,0.6,1.6,2.2,4.3,1.7,0.3,1.2,2.3,10.3,
165,Rudy Gobert,32,MIN,C,33,33,33.5,3.9,6.2,0.631,0,0,,3.9,6.2,0.631,0.631,2.4,3.4,0.714,3.4,7.1,10.5,1.7,0.7,1.4,1.5,2.6,10.3,
166,De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1,2.3,3.3,2.8,1.2,0.3,1.7,3,10.3,
167,Obi Toppin,26,IND,PF,32,0,19.7,4,7.3,0.551,1.3,3.5,0.36,2.8,3.8,0.724,0.637,1,1.3,0.825,0.7,3.4,4.1,1.7,0.8,0.4,0.7,1.5,10.3,
168,Walker Kessler,23,UTA,C,26,26,29.8,4.4,6.3,0.706,0.1,0.2,0.5,4.3,6.1,0.711,0.712,1.3,2.5,0.523,3.9,7,10.9,1.8,0.5,2.7,1.5,2.3,10.2,
169,Patrick Williams,23,CHI,PF,24,23,27,3.5,8.9,0.399,1.9,4.9,0.381,1.7,4,0.421,0.505,1.2,1.4,0.879,0.8,3.5,4.3,2.2,0.9,0.5,1.5,1.3,10.2,
170,Quentin Grimes,24,DAL,SG,33,11,22.2,3.5,7.3,0.477,1.6,4,0.406,1.8,3.3,0.565,0.589,1.5,1.9,0.762,0.8,3.2,4,1.8,0.6,0.3,1.2,1.6,10.1,
171,Tim Hardaway Jr.,32,DET,SG,31,31,27.6,3.3,8.1,0.412,1.9,5.4,0.353,1.4,2.7,0.53,0.53,1.5,1.8,0.842,0.2,1.8,2,1.6,0.4,0,0.7,1.4,10.1,
172,Ty Jerome,27,CLE,SG,33,2,17.6,3.7,7.4,0.498,1.4,3.3,0.417,2.3,4.1,0.563,0.591,1.4,1.5,0.9,0.6,1.5,2.2,3.5,1.1,0,1.1,1.5,10.1,
173,Donte DiVincenzo,28,MIN,SG,33,2,25.5,3.4,8.6,0.389,2.4,6.6,0.359,1,2.1,0.485,0.526,0.9,1.1,0.833,0.4,3,3.4,3.4,1.1,0.2,1.6,1.6,10,
174,Dalton Knecht,23,LAL,SF,34,12,22.3,3.7,7.9,0.466,1.7,4.7,0.358,2,3.2,0.624,0.573,0.9,1.2,0.8,0.7,2.8,3.4,1.1,0.4,0.1,0.6,1.4,10,
175,Goga Bitadze,25,ORL,C,31,28,24.8,4.1,6.5,0.631,0,0.5,0.063,4.1,6,0.679,0.633,1.6,2.3,0.714,3,5.5,8.5,2.4,0.9,1.6,1.5,2.5,9.9,
176,Chris Boucher,32,TOR,PF,31,0,17.5,3.5,7.6,0.46,1.2,3.8,0.308,2.4,3.9,0.608,0.536,1.7,2.2,0.794,1.3,2.9,4.2,0.7,0.6,0.6,0.7,1.4,9.9,
177,Nic Claxton,25,BRK,C,28,20,26,4.3,7.5,0.567,0,0.3,0.111,4.2,7.2,0.587,0.569,1.4,2.5,0.543,1.9,5.8,7.6,2,0.9,1.1,1.3,2.2,9.9,
178,Jaden McDaniels,24,MIN,PF,33,33,29.8,3.9,9.1,0.435,1.2,3.8,0.315,2.7,5.2,0.523,0.502,0.8,1.1,0.722,1.5,3.2,4.7,1.6,1.3,0.7,1.2,3,9.9,
179,Luguentz Dort,25,OKC,SF,33,33,29.4,3.3,8.2,0.404,2.2,5.6,0.4,1.1,2.6,0.414,0.54,0.8,1.1,0.8,1.5,3,4.5,1.6,1.2,0.7,0.5,3.2,9.8,
180,Derrick Jones Jr.,27,LAC,SF,32,32,24.7,3.9,7.8,0.496,1.1,2.9,0.366,2.8,4.9,0.573,0.564,1,1.1,0.861,1.2,2.2,3.4,0.9,1.3,0.3,1,2,9.8,
181,Miles McBride,24,NYK,PG,28,0,24.5,3.4,8.1,0.425,1.9,4.7,0.402,1.5,3.4,0.457,0.542,1,1.3,0.8,0.8,1.9,2.6,3,0.9,0.2,0.9,1.6,9.8,
182,Guerschon Yabusele,29,PHI,PF,32,11,24.1,3.6,7,0.507,1.5,3.7,0.395,2.1,3.3,0.632,0.611,1.3,1.8,0.678,1.6,3.5,5.1,1.8,0.7,0.4,1.3,2.5,9.8,
183,Dorian Finney-Smith,31,2TM,PF,23,20,28.1,3.4,7.6,0.448,2.2,5.1,0.427,1.2,2.5,0.491,0.592,0.7,1,0.625,1.7,2.8,4.4,1.5,0.8,0.5,0.8,2.8,9.6,
183,Dorian Finney-Smith,31,BRK,PF,20,20,29,3.7,8,0.459,2.4,5.4,0.435,1.3,2.6,0.51,0.607,0.8,1.2,0.625,1.6,3,4.6,1.6,0.9,0.6,0.9,2.7,10.4,
183,Dorian Finney-Smith,31,LAL,PF,3,0,22.7,1.7,5,0.333,1,3,0.333,0.7,2,0.333,0.433,0,0,,2.3,1.3,3.7,1.3,0.3,0,0.3,3.3,4.3,
184,Jalen Duren,21,DET,C,31,31,24.9,4,5.7,0.695,0,0,,4,5.7,0.695,0.695,1.6,2.7,0.607,3.2,6.2,9.4,2.2,0.5,1.2,1.9,3.2,9.6,
185,Kevin Porter Jr.,24,LAC,SG,30,1,20,3.9,9.6,0.404,0.6,2.6,0.241,3.2,6.9,0.466,0.437,1.3,1.9,0.655,0.7,2.9,3.6,3.1,0.9,0.3,2.2,1.7,9.6,
186,Gary Trent Jr.,26,MIL,SG,30,7,24.9,3.3,7.9,0.418,2.1,5.1,0.405,1.2,2.8,0.44,0.549,0.9,1,0.9,0.2,2,2.2,0.9,1,0,0.7,2,9.6,
187,Larry Nance Jr.,32,ATL,PF,15,2,19.4,3.7,6.3,0.585,1.7,3.3,0.52,1.9,2.9,0.659,0.723,0.5,0.5,0.875,1.1,3.2,4.3,1.6,1.1,0.7,0.7,1.5,9.5,
188,Clint Capela,30,ATL,C,35,35,22.9,4.2,7.3,0.576,0,0,,4.2,7.3,0.576,0.576,1,1.9,0.523,3.3,5.7,9,1.3,0.6,0.9,0.9,2,9.4,
189,Yves Missi,20,NOP,C,34,28,27.2,3.8,6.7,0.561,0,0,0,3.8,6.7,0.564,0.561,1.9,2.9,0.64,3.9,4.6,8.5,1.5,0.6,1.4,1.2,2.3,9.4,
190,Chris Paul,39,SAS,PG,34,34,28.9,3.1,7.5,0.414,1.7,4.8,0.35,1.4,2.7,0.527,0.525,1.4,1.5,0.98,0.5,3.9,4.4,8.4,1.5,0.2,1.7,1.8,9.4,
191,Nick Richards,27,CHO,C,18,9,21.6,3.2,5.7,0.569,0,0.1,0,3.2,5.6,0.574,0.569,2.9,4.4,0.658,2.3,5.3,7.6,1.4,0.3,1.3,1.7,2.6,9.3,
192,Jalen Wilson,24,BRK,PF,33,8,26.8,3.1,7.9,0.395,1.4,4.3,0.331,1.7,3.6,0.471,0.485,1.6,1.9,0.855,1,2.3,3.3,1.8,0.5,0,1,2.3,9.3,
